url,domain,path_depth,url_length,num_digits,num_params,width,height,aspect_ratio,request_type,has_ad_keyword,is_ad
https://cdnphoto.dantri.com.vn/qvYQyJatUOoOGPvnhiBE45t_2d4=/zoom/774_516/2026/02/03/202602031021496187z7495824103610cddee0ea950efd670ca656a77c782177-edited-1770109425584.jpg,cdnphoto.dantri.com.vn,7,173,80,0,512,341,1.5,image,0,0
https://cdnphoto.dantri.com.vn/pThadR7NdcibsJ5N4TzhWwq1BDA=/zoom/192_128/2026/02/03/z749537854343826853659f635bdea756f8a0a3de55b92-edited-cropped-1770106923848.jpg,cdnphoto.dantri.com.vn,7,163,65,0,120,80,1.5,image,1,0
https://cdnphoto.dantri.com.vn/mWM2WiMt-ccWMeR_CfW9CsRVek0=/zoom/192_128/2026/02/03/ukraine-bao-dong-ve-thuc-trang-be-phong-trong-khong-khi-hoa-luc-nga-o-at-1770103018300.jpg,cdnphoto.dantri.com.vn,7,174,30,0,120,80,1.5,image,0,0
https://cdnphoto.dantri.com.vn/zIMCr51raM2WGwghtnDotc_YyXU=/zoom/192_128/2026/02/03/dji202602030859320417djpg-1770089994232.jpg,cdnphoto.dantri.com.vn,7,127,48,0,120,80,1.5,image,0,0
https://cdnphoto.dantri.com.vn/WGBfrgdo6-LcxR6XWplDJ35_Ckk=/zoom/132_132/2026/01/19/pham-ngoc-hung-cropped-1768813137016.jpg,cdnphoto.dantri.com.vn,7,124,31,0,84,84,1.0,image,0,0
https://cdnphoto.dantri.com.vn/1BxAjVHgZV8kpcBikselubl11Vw=/zoom/351_234/2026/02/03/trung-tam-hoi-nghi-ham-rong-7jpg-1770100063113.jpg?watermark=true,cdnphoto.dantri.com.vn,7,149,32,1,234,156,1.5,image,0,0
https://cdnphoto.dantri.com.vn/VT-BSO9QmwdnqvLA35K6GWUVrow=/zoom/351_234/2026/02/02/gold-and-silver-prices-slide-as-markets-turn-sharply-lowerid5e5da1f1-1d73-41c0-b4a6-fc045e19d331original-cropped-1769990013285.jpg,cdnphoto.dantri.com.vn,7,214,51,0,234,156,1.5,image,0,0
https://cdnphoto.dantri.com.vn/IpOeU2c5skwZZpoQMH002-cE16s=/zoom/240_160/2024/02/24/chien-su-nga-ukraine-mariupol-anhminhhoaskynews057-crop-1708743975982.jpeg,cdnphoto.dantri.com.vn,7,158,37,0,150,100,1.5,image,0,0
https://cdnphoto.dantri.com.vn/6qyVmpnQMf9P7Af_rtcET54Jh1c=/zoom/240_160/2026/02/02/ngo-an-tat-nien-2-cropped-1770010267911.jpg,cdnphoto.dantri.com.vn,7,127,34,0,150,100,1.5,image,0,0
https://cdnphoto.dantri.com.vn/21R2fHqz72wIC33kWDFfkEUuHqE=/zoom/240_160/2026/02/03/xem-truc-tiep-tran-futsal-viet-nam-gap-indonesia-o-dau-1770098859484.jpg,cdnphoto.dantri.com.vn,7,156,34,0,150,100,1.5,image,0,0
https://cdnphoto.dantri.com.vn/ScIfLKfoJ4bLyOrb_uRw-hJXuEk=/zoom/240_160/2026/02/03/7f7a5326jpg-1770087430286.jpg,cdnphoto.dantri.com.vn,7,113,34,0,150,100,1.5,image,0,0
https://cdnphoto.dantri.com.vn/iSdqkOqt2WNeM6IOM9z2GFNYnSM=/zoom/240_160/2026/02/03/hamchuianphu1-ezgifcom-video-to-gif-convertergif-1770090314195.gif,cdnphoto.dantri.com.vn,7,150,32,0,150,100,1.5,image,0,0
https://cdnphoto.dantri.com.vn/WiIdNvZR4K65sfJCgF53IrOXnZQ=/zoom/240_160/2026/02/03/vff-wm-4-cropped-1770097121381.jpg,cdnphoto.dantri.com.vn,7,118,33,0,150,100,1.5,image,0,0
https://cdnweb.dantri.com.vn/dist/55988349b11941a2583b.png,cdnweb.dantri.com.vn,2,58,17,0,72,24,3.0,image,0,0
https://cdnphoto.dantri.com.vn/IpLR5QCmBgDrPXG1CrJGBfzyhA8=/zoom/351_234/2026/02/03/bao-duong-xe-may-truoc-tet-dung-chi-thay-moi-dau-anh1jpg-1770090710370.jpg,cdnphoto.dantri.com.vn,7,158,31,0,234,156,1.5,image,0,0
https://cdnphoto.dantri.com.vn/y03igNKaE3qDiMaA-G1Ws8Jiuso=/zoom/351_234/2021/12/29/ngu-dan-phu-yen-ky-vong-nam-moi-gia-ca-ngu-se-on-dinhtrung-thi-1640788135743.jpg,cdnphoto.dantri.com.vn,7,164,32,0,234,156,1.5,image,0,0
https://cdnphoto.dantri.com.vn/BwulaI4HB7WsGQwkHoKZlFegLhc=/zoom/351_234/2026/02/03/dji202602030859320417djpg-1770089994232.jpg,cdnphoto.dantri.com.vn,7,127,47,0,234,156,1.5,image,0,0
https://cdnphoto.dantri.com.vn/34pHfoCKSVkSPPjLZ5RVVGC7R9M=/2026/01/26/group-1597880507-1png-1769398612654.png,cdnphoto.dantri.com.vn,5,110,37,0,112,36,3.11,image,0,0
https://cdnphoto.dantri.com.vn/Eoa_Ovqv9mIMNjUItHDhqBOrgo4=/zoom/288_192/2026/02/02/ngo-an-tat-nien-2-cropped-1770010267911.jpg,cdnphoto.dantri.com.vn,7,127,30,0,192,128,1.5,image,0,0
https://cdnphoto.dantri.com.vn/P591GItc_mMwhpQiEHEJLc4tfkU=/zoom/144_96/2026/02/01/cay-kieng-1jpg-1769949565349.jpg,cdnphoto.dantri.com.vn,7,115,31,0,90,60,1.5,image,0,0
https://cdnphoto.dantri.com.vn/FtJM3YnhGJassLmotSLTwPYpb30=/zoom/144_96/2026/02/03/csgt-1770107625084.jpg,cdnphoto.dantri.com.vn,7,105,29,0,90,60,1.5,image,0,0
https://cdnphoto.dantri.com.vn/HCyTUcjAS1efssAzhoGrcVZqFGE=/zoom/144_96/2026/02/02/dsc3668jpg-1770015257552.jpg,cdnphoto.dantri.com.vn,7,111,31,0,90,60,1.5,image,0,0
https://cdnphoto.dantri.com.vn/ueLRd0aceVyKgTbjxRIr0b2TvYg=/zoom/144_96/2022/01/12/ban-phao-hoa-mung-xuan-o-ninh-binh-crop-1641986546224.jpeg,cdnphoto.dantri.com.vn,7,141,29,0,90,60,1.5,image,0,0
