width,height,url_length,is_iframe,is_ad
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
300,600,0,0,1
154,115,83,0,0
154,115,83,0,0
154,115,138,0,0
154,115,82,0,0
154,115,84,0,0
154,115,83,0,0
154,115,83,0,0
154,115,141,0,0
154,115,77,0,0
154,115,82,0,0
300,600,0,0,1
154,115,84,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,83,0,0
154,115,84,0,0
154,115,83,0,0
154,115,81,0,0
154,115,77,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
300,600,0,0,1
154,115,83,0,0
154,115,82,0,0
154,115,77,0,0
154,115,82,0,0
154,115,82,0,0
300,600,0,0,1
154,115,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,82,0,0
154,115,82,0,0
154,115,84,0,0
154,115,84,0,0
154,115,82,0,0
154,115,84,0,0
154,115,82,0,0
300,600,0,0,1
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,84,0,0
154,115,83,0,0
154,115,84,0,0
154,115,82,0,0
154,115,82,0,0
300,600,0,0,1
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,84,0,0
154,115,77,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
300,600,0,0,1
154,115,83,0,0
154,115,82,0,0
154,115,84,0,0
154,115,83,0,0
154,115,84,0,0
154,115,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
300,600,0,0,1
154,115,77,0,0
154,115,82,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
300,600,0,0,1
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
164,292,76,0,0
164,292,77,0,0
164,292,82,0,0
164,292,77,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
164,292,82,0,0
164,292,83,0,0
164,292,82,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
164,292,82,0,0
164,292,83,0,0
164,292,83,0,0
164,292,77,0,0
164,292,82,0,0
164,292,76,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
164,292,82,0,0
164,292,83,0,0
164,292,83,0,0
164,292,83,0,0
636,382,82,0,0
154,115,83,0,0
154,115,83,0,0
636,382,113,0,0
154,115,83,0,0
154,115,83,0,0
636,382,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,84,0,0
154,115,83,0,0
154,115,84,0,0
154,115,83,0,0
154,115,84,0,0
300,600,0,0,1
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
636,382,83,0,0
154,115,82,0,0
154,115,83,0,0
636,382,82,0,0
154,115,84,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,84,0,0
154,115,83,0,0
154,115,82,0,0
154,115,83,0,0
636,432,113,0,0
154,115,83,0,0
154,115,82,0,0
636,382,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,82,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,83,0,0
154,115,82,0,0
154,115,82,0,0
154,115,83,0,0
308,100,82,0,0
308,100,81,0,0
194,40,116,0,0
350,250,0,0,1
350,250,0,0,1
1905,941,0,0,1
304,154,152,1,1
304,154,83,1,1
304,154,0,1,1
304,154,118,1,1
231,78,72,0,0
304,78,233,1,1
300,150,0,1,1
300,150,228,1,1
320,50,0,1,1
396,396,209,0,0
255,255,209,0,0
255,255,210,0,0
255,255,209,0,0
135,90,209,0,0
135,90,209,0,0
295,197,149,0,0
289,230,210,0,0
289,230,210,0,0
289,230,210,0,0
289,230,209,0,0
1339,345,109,1,1
209,139,210,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,192,0,0
728,90,0,1,1
300,250,0,1,1
453,453,209,0,0
297,198,209,0,0
297,198,210,0,0
216,144,209,0,0
209,139,191,0,0
209,139,192,0,0
209,139,210,0,0
209,139,192,0,0
970,250,109,1,1
209,139,208,0,0
209,139,192,0,0
209,139,191,0,0
209,139,191,0,0
209,139,209,0,0
209,139,191,0,0
453,453,211,0,0
297,198,209,0,0
297,198,210,0,0
216,144,209,0,0
209,139,192,0,0
209,139,191,0,0
209,139,210,0,0
209,139,192,0,0
209,139,191,0,0
209,139,210,0,0
209,139,192,0,0
209,139,191,0,0
209,139,209,0,0
209,139,209,0,0
209,139,191,0,0
209,139,211,0,0
209,139,210,0,0
209,139,209,0,0
209,139,191,0,0
209,139,209,0,0
209,139,192,0,0
209,139,191,0,0
209,139,209,0,0
209,139,210,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,209,0,0
209,139,209,0,0
209,139,191,0,0
209,139,191,0,0
209,139,209,0,0
209,139,193,0,0
209,139,209,0,0
209,139,210,0,0
209,139,211,0,0
209,139,210,0,0
209,139,209,0,0
209,139,225,0,0
209,139,209,0,0
209,139,210,0,0
209,139,209,0,0
209,139,210,0,0
209,139,210,0,0
209,139,209,0,0
209,139,217,0,0
209,139,210,0,0
300,150,0,1,1
300,150,0,1,1
300,150,199,1,1
300,150,80,1,1
304,154,0,1,1
992,496,92,0,0
236,133,91,0,0
236,133,95,0,0
236,133,91,0,0
236,133,90,0,0
488,275,93,0,0
236,133,102,0,0
236,133,116,0,0
236,133,122,0,0
236,133,98,0,0
236,133,93,0,0
236,133,109,0,0
236,133,127,0,0
236,133,102,0,0
236,133,113,0,0
236,133,102,0,0
236,133,126,0,0
236,133,144,0,0
236,133,111,0,0
236,133,106,0,0
236,133,127,0,0
236,133,114,0,0
220,124,145,0,0
220,124,146,0,0
236,133,117,0,0
236,133,105,0,0
236,133,101,0,0
236,133,108,0,0
236,133,108,0,0
236,133,91,0,0
236,133,159,0,0
236,133,117,0,0
236,133,139,0,0
236,133,99,0,0
236,133,102,0,0
236,133,111,0,0
236,133,115,0,0
236,133,112,0,0
236,133,98,0,0
236,209,0,0,1
488,275,91,0,0
236,133,129,0,0
488,275,89,0,0
236,133,137,0,0
236,133,114,0,0
236,133,147,0,0
236,133,101,0,0
236,133,120,0,0
236,133,120,0,0
236,133,102,0,0
236,133,110,0,0
284,160,3543,1,1
284,160,67,0,0
96,24,72,0,0
310,517,135,0,0
310,517,139,0,0
310,517,147,0,0
310,517,118,0,0
120,30,0,1,1
282,159,139,0,0
282,159,149,0,0
282,159,136,0,0
282,159,154,0,0
282,159,153,0,0
282,159,129,0,0
282,159,142,0,0
282,159,150,0,0
282,159,157,0,0
282,159,131,0,0
282,159,137,0,0
282,159,126,0,0
282,159,150,0,0
282,159,142,0,0
282,159,140,0,0
282,159,129,0,0
282,159,149,0,0
282,159,136,0,0
282,159,134,0,0
282,159,169,0,0
282,159,134,0,0
282,159,133,0,0
282,159,132,0,0
282,159,133,0,0
282,159,163,0,0
282,159,131,0,0
282,159,142,0,0
282,159,128,0,0
282,159,202,0,0
282,159,129,0,0
282,159,202,0,0
282,159,144,0,0
240,135,145,0,0
240,135,193,0,0
240,135,165,0,0
240,135,143,0,0
240,135,160,0,0
240,135,146,0,0
240,135,134,0,0
240,135,133,0,0
300,250,109,1,1
250,250,131,0,0
970,250,109,1,1
240,135,157,0,0
240,135,140,0,0
240,135,142,0,0
240,135,133,0,0
240,135,140,0,0
240,135,176,0,0
300,250,0,1,1
108,108,166,0,0
24,24,69,0,0
108,108,155,0,0
24,24,69,0,0
108,108,144,0,0
24,24,69,0,0
24,24,62,0,0
24,24,69,0,0
108,108,155,0,0
24,24,69,0,0
108,108,121,0,0
24,24,68,0,0
282,159,169,0,0
282,159,148,0,0
282,159,147,0,0
282,159,147,0,0
304,154,0,1,1
304,154,213,1,1
304,154,0,1,1
304,154,0,1,1
304,154,0,1,1
304,154,0,1,1
304,154,134,1,1
304,154,0,1,1
728,90,0,1,1
787,420,88,0,0
443,420,105,0,0
289,162,95,0,0
289,162,89,0,0
289,162,83,0,0
289,162,90,0,0
289,162,114,0,0
289,162,88,0,0
289,162,114,0,0
289,162,90,0,0
728,90,0,1,1
310,174,82,0,0
310,174,78,0,0
310,174,89,0,0
310,174,93,0,0
310,174,113,0,0
310,174,92,0,0
310,174,84,0,0
310,174,114,0,0
310,174,94,0,0
310,174,90,0,0
310,174,86,0,0
310,174,92,0,0
310,174,82,0,0
310,174,87,0,0
310,174,101,0,0
310,174,98,0,0
310,174,106,0,0
310,174,80,0,0
310,174,113,0,0
310,174,96,0,0
310,174,90,0,0
310,174,103,0,0
310,174,103,0,0
310,174,109,0,0
160,90,79,0,0
160,90,84,0,0
160,90,114,0,0
160,90,89,0,0
160,90,85,0,0
160,90,84,0,0
160,90,96,0,0
160,90,126,0,0
160,90,102,0,0
160,90,99,0,0
160,90,115,0,0
160,90,103,0,0
160,90,115,0,0
160,90,91,0,0
160,90,134,0,0
160,90,105,0,0
160,90,93,0,0
160,90,83,0,0
160,90,101,0,0
160,90,91,0,0
160,90,95,0,0
160,90,116,0,0
160,90,91,0,0
160,90,89,0,0
160,90,83,0,0
160,90,85,0,0
160,90,107,0,0
160,90,89,0,0
160,90,78,0,0
160,90,126,0,0
397,223,89,0,0
125,70,88,0,0
125,70,130,0,0
125,70,105,0,0
125,70,87,0,0
300,250,0,1,1
300,250,0,1,1
728,90,0,1,1
300,150,0,1,1
300,150,202,1,1
300,150,96,1,1
970,250,109,1,1
20,20,152,0,0
20,20,152,0,0
20,20,88,0,0
20,20,57,0,0
20,20,88,0,0
20,20,88,0,0
20,20,152,0,0
20,20,152,0,0
20,20,131,0,0
20,20,167,0,0
20,20,150,0,0
20,20,115,0,0
20,20,115,0,0
20,20,114,0,0
20,20,115,0,0
20,20,116,0,0
20,20,116,0,0
20,20,94,0,0
20,20,106,0,0
20,20,144,0,0
20,20,100,0,0
20,20,147,0,0
20,20,138,0,0
20,20,73,0,0
20,20,116,0,0
20,20,145,0,0
20,20,117,0,0
20,20,115,0,0
20,20,137,0,0
20,20,115,0,0
20,20,138,0,0
660,264,80,0,0
42,42,80,0,0
42,42,80,0,0
628,353,0,0,0
149,84,142,0,0
149,84,142,0,0
149,84,142,0,0
149,84,142,0,0
149,84,142,0,0
149,84,142,0,0
40,40,129,0,0
628,353,0,0,0
628,353,0,0,0
40,40,129,0,0
20,20,86,0,0
20,20,87,0,0
20,20,87,0,0
20,20,87,0,0
20,20,87,0,0
20,20,87,0,0
20,20,87,0,0
20,20,87,0,0
42,42,89,0,0
42,42,88,0,0
628,251,0,0,0
628,353,0,0,0
660,194,109,1,1
660,371,0,0,0
628,20,0,0,0
238,134,0,0,0
628,20,0,0,0
40,40,115,0,0
40,40,96,0,0
628,354,122,0,0
238,134,64,0,0
40,40,96,0,0
628,354,122,0,0
628,354,122,0,0
40,40,96,0,0
40,40,96,0,0
628,252,63,0,0
40,40,96,0,0
628,252,65,0,0
40,40,62,0,0
628,252,65,0,0
40,40,113,0,0
628,252,63,0,0
238,134,64,0,0
40,40,96,0,0
628,252,65,0,0
40,40,96,0,0
628,252,63,0,0
628,354,120,0,0
40,40,63,0,0
628,252,63,0,0
238,134,63,0,0
40,40,116,0,0
628,354,126,0,0
40,40,67,0,0
40,40,106,0,0
628,252,69,0,0
40,40,96,0,0
628,252,63,0,0
238,134,64,0,0
300,250,0,1,1
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
276,155,0,0,0
260,47,57,0,0
300,71,63,0,0
260,58,57,0,0
300,67,63,0,0
260,62,57,0,0
300,55,63,0,0
20,20,152,0,0
20,20,152,0,0
20,20,88,0,0
20,20,129,0,0
20,20,57,0,0
20,20,88,0,0
20,20,88,0,0
20,20,152,0,0
20,20,152,0,0
20,20,131,0,0
20,20,167,0,0
20,20,150,0,0
20,20,115,0,0
20,20,115,0,0
20,20,114,0,0
20,20,115,0,0
20,20,116,0,0
20,20,116,0,0
20,20,94,0,0
20,20,106,0,0
20,20,144,0,0
20,20,100,0,0
20,20,147,0,0
20,20,138,0,0
20,20,73,0,0
87,23,63,0,0
304,154,0,1,1
304,154,115,1,1
300,150,93,1,1
80,28,33,0,0
970,250,0,1,1
131,74,150,0,0
1905,953,125,0,0
648,365,129,0,0
312,176,129,0,0
312,176,119,0,0
312,176,122,0,0
312,176,120,0,0
312,176,141,0,0
312,176,120,0,0
312,176,134,0,0
312,176,159,0,0
300,600,0,1,1
400,280,0,1,1
660,296,126,0,0
97,34,33,0,0
660,371,167,0,0
312,176,167,0,0
312,175,167,0,0
312,176,136,0,0
312,176,170,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
32,32,113,0,0
660,371,113,0,0
312,176,130,0,0
312,176,119,0,0
312,176,130,0,0
312,176,168,0,0
312,175,167,0,0
312,176,167,0,0
312,176,167,0,0
312,176,170,0,0
312,176,153,0,0
312,176,167,0,0
312,176,167,0,0
312,175,167,0,0
312,176,167,0,0
312,176,146,0,0
312,176,167,0,0
312,176,165,0,0
312,176,145,0,0
312,176,145,0,0
312,176,167,0,0
312,176,139,0,0
312,176,113,0,0
312,176,137,0,0
312,176,129,0,0
312,176,141,0,0
312,312,127,0,0
312,312,112,0,0
424,424,121,0,0
312,312,128,0,0
312,312,118,0,0
312,312,127,0,0
312,312,112,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
245,436,76,0,0
128,45,33,0,0
273,32,89,0,0
304,154,0,1,1
304,154,0,1,1
304,154,194,1,1
304,154,70,1,1
304,154,70,1,1
304,154,240,1,1
304,154,279,1,1
304,154,76,1,1
304,154,124,1,1
300,150,0,1,1
655,437,92,0,0
113,76,92,0,0
113,76,92,0,0
113,76,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
323,216,92,0,0
235,132,46,0,0
147,98,92,0,0
147,98,92,0,0
147,98,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
323,216,92,0,0
235,157,92,0,0
147,98,92,0,0
147,98,92,0,0
147,98,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
208,139,92,0,0
323,216,92,0,0
235,157,92,0,0
147,98,92,0,0
147,98,92,0,0
147,98,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
208,138,92,0,0
323,216,92,0,0
235,157,92,0,0
147,98,92,0,0
147,98,92,0,0
147,98,92,0,0
300,150,118,1,1
1536,862,116,0,0
728,90,0,1,1
414,233,115,0,0
414,233,113,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
248,139,115,0,0
248,139,115,0,0
248,139,115,0,0
248,139,115,0,0
248,139,115,0,0
96,58,36,0,0
318,179,46,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
318,179,38,0,0
318,179,49,0,0
318,179,47,0,0
477,64,47,0,0
73,541,56,0,0
112,91,44,0,0
318,179,113,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
266,150,113,0,0
266,150,113,0,0
266,150,113,0,0
266,150,113,0,0
728,90,0,1,1
414,233,115,0,0
414,233,114,0,0
414,233,115,0,0
414,233,115,0,0
414,233,115,0,0
414,233,115,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
318,179,115,0,0
218,132,115,0,0
218,132,116,0,0
218,132,115,0,0
218,132,115,0,0
218,132,115,0,0
218,132,115,0,0
218,132,115,0,0
218,132,113,0,0
218,132,113,0,0
218,132,113,0,0
300,250,0,1,1
300,150,0,1,1
300,150,213,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,142,1,1
257,71,49,0,0
1000,501,111,0,0
484,273,111,0,0
484,273,111,0,0
75,75,109,0,0
75,75,109,0,0
75,75,109,0,0
75,75,109,0,0
75,75,109,0,0
75,75,109,0,0
728,90,0,1,1
648,365,100,0,0
648,365,100,0,0
240,136,112,0,0
240,136,111,0,0
240,136,111,0,0
240,136,111,0,0
240,136,111,0,0
304,78,226,1,1
300,150,0,1,1
875,438,111,0,0
421,238,111,0,0
421,238,111,0,0
421,238,111,0,0
421,238,111,0,0
875,493,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
875,493,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
970,250,0,1,1
875,493,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
875,493,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
150,85,111,0,0
256,71,49,0,0
112,36,37,0,0
112,36,40,0,0
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,83,1,1
300,150,0,1,1
300,150,225,1,1
300,150,213,1,1
300,150,0,1,1
300,150,0,1,1
300,150,0,1,1
300,150,137,1,1
